Codigo;Nome;TipoEstacao;Operando;Rio;Municipio;ResponsavelSigla;OperadoraSigla;EstacaoTelemetrica;AreaDrenagem;Latitude;Longitude;Descricao
2552055;UHE SALTO SANTIAGO FOZ DO JORDÃO;Pluviométrica;Não;;FOZ DO JORDÃO;ENGIE;ENGIE;Não;;-25.7747;-52.1139;RES. ANA/ANEEL N. 03/2010
2551015;UHE SALTO SANTIAGO GUARAPUAVA;Pluviométrica;Sim;;GUARAPUAVA;ENGIE;ENGIE;Sim;;-25.3656;-51.4956;RES. ANA/ANEEL N. 03/2010
2553071;UHE BAIXO IGUAÇU RIO ANDRADA;Pluviométrica;Sim;;CAPITÃO LEÔNIDAS MARQUES;CÉU AZUL;CÉU AZUL;Sim;;-25.4217;-53.5003;RES. ANA/ANEEL N. 03/2010
2553073;UHE BAIXO IGUAÇU JUSANTE;Pluviométrica;Sim;;CAPANEMA;CÉU AZUL;CÉU AZUL;Sim;;-25.5853;-53.7278;RES. ANA/ANEEL N. 03/2010
2651058;UHE GOV. BENTO MUNHOZ R5 PORTO VITÓRIA;Pluviométrica;Sim;;PORTO VITÓRIA;F.D.A.;F.D.A.;Sim;;-26.1653;-51.2281;RES. ANA/ANEEL N. 03/2010
2650028;UHE GOVERNADOR BENTO MUNHOZ FOZ DO CACHOEIRA;Pluviométrica;Sim;;TIMBÓ GRANDE;F.D.A.;F.D.A.;Sim;;-26.5875;-50.7283;RES. ANA/ANEEL N. 03/2010
2651054;UHE GOV. NEY AMINTHAS SOLAIS NOVO;Pluviométrica;Sim;;CORONEL DOMINGOS SOARES;COPEL;COPEL;Sim;;-26.0931;-51.8797;RES. ANA/ANEEL N. 03/2010
2552009;UHE SALTO OSÓRIO LARANJEIRAS DO SUL;Pluviométrica;Sim;;LARANJEIRAS DO SUL;ENGIE;ENGIE;Sim;;-25.3978;-52.435;RES. ANA/ANEEL N. 03/2010
2553069;BOA VISTA DA APARECIDA;Pluviométrica;Sim;;BOA VISTA DA APARECIDA;COPEL;COPEL;Sim;;-25.5225;-53.3631;TELEMÉTRICA
2553070;UHE GOV. JOSÉ RICHA PORTO CAPANEMA;Pluviométrica;Sim;;CAPANEMA;COPEL;COPEL;Sim;;-25.5667;-53.9333;RES. ANA/ANEEL N. 03/2010
2651000;UNIÃO DA VITÓRIA;Pluviométrica;Sim;;UNIÃO DA VITÓRIA;COPEL;IAT-PR;Sim;;-26.2281;-51.0803;
2553079;UHE SALTO OSÓRIO BARRAMENTO;Pluviométrica;Sim;;QUEDAS DO IGUAÇU;ENGIE;ENGIE;Não;;-25.5386;-53.0097;RES. ANA/ANEEL N. 03/2010
2553059;UHE ITAIPU PORTO CAPANEMA;Pluviométrica;Sim;;SERRANÓPOLIS DO IGUAÇU;ITAIPU;ITAIPU;Sim;;-25.5667;-53.9331;RES. ANA/ANEEL N. 03/2010
2553089;CGH JARACATIÁ BARRAMENTO;Pluviométrica;Sim;;SALTO DO LONTRA;JARACATIA;JARACATIA;Sim;;-25.6914;-53.29;RES. ANA/ANEEL N. 03/2010
2553052;PCH ARTURO ANDREOLI FLOR DA SERRA;Pluviométrica;Sim;;DOIS VIZINHOS;FOZ DO CHOPIM;FOZ DO CHOPIM;Sim;;-25.6822;-52.9844;RES. ANA/ANEEL N. 03/2010
2652048;PCH ARTURO ANDREOLI PORTO PALMEIRINHA;Pluviométrica;Sim;;CORONEL VIVIDA;FOZ DO CHOPIM;FOZ DO CHOPIM;Sim;;-26.0289;-52.6281;RES. ANA/ANEEL N. 03/2010
